Index,STNAME,CTYNAME,STCODE,CTYCODE,Cases2000,Cases2001,Cases2002,Cases2003,Cases2004,Cases2005,Cases2006,Cases2007,Cases2008,Cases2009,Cases2010,Cases2011,Cases2012,Cases2013,Cases2014,aggregateCases,aggregateCasesPerOneHundredThousand,meanAggregateCases,,POPESTIMATE2009,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,meanPopulation,lessHighSchoolDiploma,lessHSPercent,highSchoolDiplomaOnly,hsOnlyPercent,someCollegeOrAssociateDegree,someCollegePercent,bachelorDegreeOrHigher,bachelorPercent,aggregateEducation,"Percent of adults with less than a high school diploma, 2009-2013","Percent of adults with a high school diploma only, 2009-2013","Percent of adults completing some college or associate's degree, 2009-2013","Percent of adults with a bachelor's degree or higher, 2009-2013",Civilian_labor_force_2013,Employed_2013,Unemployed_2013,Unemployment_rate_2013,Civilian_labor_force_2014,Employed_2014,Unemployed_2014,Unemployment_rate_2014,Median_Household_Income_2009,Median_Household_Income_2010,Median_Household_Income_2011,Median_Household_Income_2012,Median_Household_Income_2013,aggregateMedianHouseInc,aggregateMedianIncPercentage
Nebraska-Lincoln County,Nebraska,Lincoln County,31,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,35670,36264,36045,35998,36051,180028,2081,0.011559313,8125,0.045131868,9517,0.052863999,4736,0.026307019,24459,9,33,39,19,19303,18585,718,4,18969,18354,615,3,45183,46616,49139,48141,52395,48294.8,0.268262715
Nebraska-Logan County,Nebraska,Logan County,31,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,732,768,770,773,763,3806,37,0.009721492,172,0.045191802,223,0.058591697,107,0.028113505,539,7,32,41,20,505,489,16,3,503,487,16,3,38810,42257,46820,49227,48688,45160.4,11.86558066
Nebraska-Loup County,Nebraska,Loup County,31,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,661,626,612,592,576,3067,29,0.009455494,173,0.056406912,158,0.05151614,52,0.016954679,412,7,42,38,13,379,362,17,5,378,364,14,4,32989,34805,37885,39143,41192,37202.8,12.13002934
Nebraska-McPherson County,Nebraska,McPherson County,31,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,488,538,543,504,526,2599,16,0.006156214,91,0.035013467,103,0.039630627,75,0.028857253,285,6,32,36,26,373,359,14,4,378,367,11,3,38192,33950,38097,41244,40834,38463.4,14.79930743
Nebraska-Madison County,Nebraska,Madison County,31,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,34505,34949,35024,35113,35278,174869,2890,0.016526657,6242,0.035695292,8760,0.050094642,4703,0.026894418,22595,13,28,39,21,19420,18749,671,4,19454,18878,576,3,42920,43491,46363,45822,45738,44866.8,0.256573778
Nebraska-Merrick County,Nebraska,Merrick County,31,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7666,7857,7736,7804,7802,38865,500,0.012865046,1947,0.050096488,2028,0.052180625,918,0.023620224,5393,9,36,38,17,4223,4068,155,4,4222,4065,157,4,45528,43244,50714,47236,50317,47407.8,1.219807024
Nebraska-Morrill County,Nebraska,Morrill County,31,123,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4911,5039,4934,4892,4908,24684,442,0.017906336,1226,0.049667801,1149,0.046548371,631,0.025563118,3448,13,36,33,18,2764,2676,88,3,2707,2626,81,3,38485,40465,42378,43513,47296,42427.4,1.718821909
Nebraska-Nance County,Nebraska,Nance County,31,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3460,3730,3735,3716,3623,18264,299,0.016371003,999,0.054697766,970,0.053109943,345,0.018889619,2613,11,38,37,13,2085,2019,66,3,2090,2033,57,3,40644,41950,42629,44501,45091,42963,2.352332457
Nebraska-Nemaha County,Nebraska,Nemaha County,31,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6856,7249,7267,7186,7157,35715,365,0.010219796,1707,0.047795044,1465,0.04101918,1171,0.032787344,4708,8,36,31,25,3840,3646,194,5,3764,3613,151,4,41160,45292,44705,45033,48892,45016.4,1.260433991
Nebraska-Nuckolls County,Nebraska,Nuckolls County,31,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4334,4507,4452,4442,4413,22148,235,0.010610439,1506,0.06799711,1141,0.051517067,457,0.020633917,3339,7,45,34,14,2470,2388,82,3,2440,2370,70,3,34894,36985,36861,41892,44139,38954.2,1.758813437
