Index,STNAME,CTYNAME,STCODE,CTYCODE,Cases2000,Cases2001,Cases2002,Cases2003,Cases2004,Cases2005,Cases2006,Cases2007,Cases2008,Cases2009,Cases2010,Cases2011,Cases2012,Cases2013,Cases2014,"Less than a high school diploma, 2009-2013","High school diploma only, 2009-2013","Some college or associate's degree, 2009-2013","Bachelor's degree or higher, 2009-2013","Percent of adults with less than a high school diploma, 2009-2013","Percent of adults with a high school diploma only, 2009-2013","Percent of adults completing some college or associate's degree, 2009-2013","Percent of adults with a bachelor's degree or higher, 2009-2013",Civilian_labor_force_2013,Employed_2013,Unemployed_2013,Unemployment_rate_2013,Civilian_labor_force_2014,Employed_2014,Unemployed_2014,Unemployment_rate_2014,Median_Household_Income_2013
Alabama-Marshall County,Alabama,Marshall County,1,95,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,"14,803","20,233","17,660","9,434",24,33,28,15,"40,506","37,739","2,767",7,"39,588","36,936","2,652",7,"38,399"
Alabama-Mobile County,Alabama,Mobile County,1,97,2,3,2,0,0,0,3,0,3,0,0,0,5,5,1,"43,354","88,998","81,672","55,874",16,33,30,21,"186,300","170,627","15,673",8,"184,133","169,947","14,186",8,"42,278"
Alabama-Monroe County,Alabama,Monroe County,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"3,656","5,964","4,038","1,624",24,39,26,11,"7,761","6,825",936,12,"7,530","6,679",851,11,"32,696"
Alabama-Montgomery County,Alabama,Montgomery County,1,101,0,2,2,0,0,0,1,0,0,0,0,2,0,1,4,"21,161","38,460","40,787","46,113",14,26,28,31,"106,040","98,339","7,701",7,"104,838","97,592","7,246",7,"44,013"
Alabama-Morgan County,Alabama,Morgan County,1,103,0,0,0,0,0,0,0,1,1,0,0,1,1,0,2,"15,087","25,641","24,357","16,178",19,32,30,20,"56,849","52,947","3,902",7,"55,799","52,105","3,694",7,"44,079"
Alabama-Perry County,Alabama,Perry County,1,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,962","2,535","1,397",687,30,39,21,10,"3,564","3,075",489,14,"3,454","3,024",430,12,"25,461"
Alabama-Pickens County,Alabama,Pickens County,1,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,702","5,584","3,571","1,469",20,42,27,11,"7,395","6,709",686,9,"7,429","6,818",611,8,"32,314"
Alabama-Pike County,Alabama,Pike County,1,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,653","6,811","4,369","4,423",19,35,23,23,"14,891","13,747","1,144",8,"14,839","13,757","1,082",7,"35,944"
Alabama-Randolph County,Alabama,Randolph County,1,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,240","5,688","3,851","1,716",27,37,25,11,"9,190","8,475",715,8,"9,166","8,537",629,7,"35,121"
Alabama-Russell County,Alabama,Russell County,1,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"7,084","11,560","11,644","5,776",20,32,32,16,"24,980","23,146","1,834",7,"24,634","23,001","1,633",7,"35,762"
Alabama-St. Clair County,Alabama,St. Clair County,1,115,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,"10,453","20,351","18,171","8,971",18,35,31,15,"38,756","36,356","2,400",6,"38,380","36,153","2,227",6,"52,437"
